,Deviatiom,Square,LCS
64,0.689805422,0.530504352,0.924214418
65,0.691124829,0.532422951,0.92393321
66,0.691380716,0.533155535,0.923649907
67,0.689658053,0.530763039,0.923364486
68,0.68901233,0.530033912,0.923076923
69,0.690386681,0.531411844,0.922787194
70,0.688159487,0.527535023,0.922495274
71,0.686954775,0.526235826,0.922201139
72,0.685278087,0.524056578,0.921904762
73,0.683555737,0.521741359,0.921606119
74,0.684106223,0.521968912,0.921305182
75,0.685399408,0.522354188,0.921001927
76,0.688168036,0.526235647,0.920696325
77,0.687308455,0.525671491,0.92038835
78,0.689503248,0.528587458,0.920077973
79,0.690063477,0.530142422,0.919765166
80,0.687827759,0.526620339,0.919449902
81,0.686914874,0.52466217,0.91913215
82,0.68760643,0.524996405,0.918811881
83,0.686744142,0.523407504,0.918489066
84,0.685624038,0.52189115,0.918163673
85,0.683936,0.519723039,0.917835671
86,0.682392219,0.517207696,0.91750503
87,0.680199662,0.513708891,0.917171717
88,0.677949155,0.510221048,0.9168357
89,0.67861392,0.511531568,0.916496945
90,0.681082882,0.515133528,0.916155419
91,0.678799382,0.51163516,0.915811088
92,0.678588968,0.511688266,0.915463918
93,0.677890854,0.511399582,0.915113872
94,0.677381588,0.510524811,0.914760915
95,0.675555556,0.507716776,0.91440501
96,0.678121882,0.511495605,0.914046122
97,0.678183038,0.51165433,0.913684211
98,0.677081664,0.510414058,0.913319239
99,0.676152686,0.509762635,0.912951168
100,0.679710276,0.514476309,0.912579957
101,0.683103222,0.518862496,0.914346895
102,0.680745639,0.515176211,0.913978495
103,0.685084721,0.520504724,0.913606911
104,0.686812466,0.523439057,0.913232104
105,0.68489603,0.520912382,0.912854031
106,0.686009039,0.52199822,0.912472648
107,0.684402893,0.520101234,0.912087912
108,0.68604087,0.521356871,0.913907285
109,0.684548516,0.519249584,0.913525499
110,0.685096296,0.520346932,0.913140312
111,0.687679369,0.523617587,0.914988814
112,0.686360072,0.520925077,0.914606742
113,0.688012337,0.523467112,0.914221219
114,0.688171823,0.522628638,0.9138322
115,0.687809917,0.52293196,0.913439636
116,0.688350952,0.524128856,0.913043478
117,0.691755744,0.528803343,0.914942529
118,0.694323515,0.532660469,0.914549654
119,0.693201303,0.531217868,0.914153132
120,0.690492158,0.526285488,0.913752914
121,0.691632457,0.528556322,0.913348946
122,0.692367035,0.528593043,0.912941176
123,0.694820221,0.532297132,0.912529551
124,0.696143393,0.532574445,0.912114014
125,0.694920635,0.53034379,0.911694511
126,0.69220027,0.525134015,0.911270983
127,0.693902552,0.528205656,0.910843373
128,0.695418796,0.52925309,0.910411622
129,0.693397116,0.526943159,0.909975669
130,0.696466389,0.531442316,0.909535452
131,0.694516532,0.529264408,0.909090909
132,0.697614599,0.533823837,0.908641975
133,0.699269679,0.536530386,0.908188586
134,0.69953714,0.53662758,0.907730673
135,0.704125,0.542544672,0.909774436
136,0.707280119,0.546774516,0.909319899
137,0.711126416,0.552042698,0.908860759
138,0.715993713,0.558416934,0.910941476
139,0.716264057,0.55957119,0.910485934
140,0.713793557,0.555817947,0.910025707
141,0.712854714,0.55443398,0.909560724
142,0.711562727,0.553661344,0.909090909
143,0.708577474,0.547952129,0.908616188
144,0.710589074,0.551746523,0.908136483
145,0.709473684,0.550761979,0.907651715
146,0.706951093,0.547104307,0.907161804
147,0.709087823,0.550229584,0.906666667
148,0.710629415,0.553381486,0.90616622
149,0.709359464,0.552674287,0.905660377
150,0.709802776,0.553862218,0.905149051
151,0.712842628,0.558749734,0.904632153
152,0.709695721,0.5522268,0.904109589
153,0.712081874,0.555943309,0.903581267
154,0.710021062,0.552694883,0.903047091
155,0.708703704,0.551772647,0.902506964
156,0.708841796,0.55267378,0.901960784
157,0.707581113,0.551719837,0.901408451
158,0.705033675,0.548219571,0.900849858
159,0.708419421,0.553217124,0.9002849
160,0.705469388,0.548595639,0.899713467
161,0.706797463,0.550551298,0.899135447
162,0.707240469,0.552026091,0.898550725
163,0.70970795,0.555007267,0.900874636
164,0.711466776,0.558500956,0.900293255
165,0.71366782,0.560511159,0.899705015
166,0.713770526,0.5603038,0.899109792
167,0.713222789,0.56019911,0.898507463
168,0.713112697,0.559315576,0.897897898
169,0.712040935,0.558632997,0.897280967
170,0.710449954,0.557251632,0.896656535
171,0.709473528,0.556021352,0.896024465
172,0.713463058,0.561232709,0.898461538
173,0.721536351,0.570976688,0.904024768
174,0.720033949,0.567941353,0.903426791
175,0.722109375,0.569751414,0.905956113
176,0.71872157,0.563147738,0.905362776
177,0.719836565,0.565772776,0.904761905
178,0.718446996,0.563450363,0.904153355
179,0.719633465,0.566196929,0.903536977
180,0.719583767,0.566923022,0.902912621
181,0.717785461,0.564910012,0.90228013
182,0.717715409,0.56561094,0.901639344
183,0.714075485,0.558218078,0.900990099
184,0.714749353,0.560341014,0.900332226
185,0.716222222,0.563115812,0.899665552
186,0.720508085,0.56951935,0.902356902
187,0.722288167,0.571269498,0.901694915
188,0.720024064,0.56765034,0.901023891
189,0.718145994,0.566078864,0.900343643
190,0.715529132,0.563216505,0.899653979
191,0.714313272,0.562750674,0.898954704
192,0.713286713,0.562716359,0.898245614
193,0.715532632,0.564001079,0.897526502
194,0.713897691,0.561296999,0.896797153
195,0.713367347,0.561154752,0.896057348
196,0.709849387,0.555828494,0.895306859
197,0.713295526,0.56153451,0.894545455
198,0.716287495,0.564497692,0.897435897
199,0.712262111,0.555860706,0.896678967
200,0.720548697,0.566347351,0.899628253
201,0.723267988,0.571411561,0.898876404
202,0.72666629,0.576038676,0.901886792
203,0.727387511,0.578293734,0.901140684
204,0.728162694,0.580975382,0.900383142
205,0.729881657,0.583395635,0.8996139
206,0.727420227,0.578737262,0.898832685
207,0.724914551,0.575014305,0.898039216
208,0.721743443,0.570874014,0.897233202
209,0.725245654,0.574026499,0.900398406
210,0.72832,0.577274516,0.899598394
211,0.72710718,0.576266146,0.898785425
212,0.723246745,0.568988539,0.897959184
213,0.727962913,0.576188824,0.897119342
214,0.729390069,0.577574225,0.89626556
215,0.725486111,0.570308512,0.89539749
216,0.724595721,0.568564103,0.894514768
217,0.732835392,0.579205449,0.89787234
218,0.734896632,0.582494047,0.896995708
219,0.739967301,0.58931046,0.896103896
220,0.740718336,0.589612855,0.895196507
221,0.738457987,0.587707824,0.894273128
222,0.742266427,0.591300664,0.897777778
223,0.738440689,0.58432682,0.896860987
224,0.740848957,0.584628437,0.895927602
225,0.739008264,0.581667164,0.894977169
226,0.741604242,0.582426047,0.894009217
227,0.740397805,0.579928315,0.893023256
228,0.740239322,0.58113025,0.892018779
229,0.735938056,0.573007571,0.890995261
230,0.734058957,0.56884931,0.889952153
231,0.73733358,0.574631414,0.888888889
232,0.740409087,0.575504055,0.892682927
233,0.741157247,0.574849284,0.891625616
234,0.736594452,0.566136299,0.890547264
235,0.7398,0.56921023,0.889447236
236,0.737781859,0.566159516,0.888324873
237,0.73635985,0.564304441,0.887179487
238,0.735040918,0.562919469,0.886010363
239,0.730685764,0.555240858,0.884816754
240,0.743711911,0.570843339,0.888888889
241,0.743888637,0.568743036,0.887700535
242,0.746791537,0.570133667,0.886486486
243,0.75,0.576101404,0.890710383
244,0.750271706,0.578077117,0.889502762
245,0.753209877,0.583875017,0.888268156
246,0.757227623,0.59105741,0.88700565
247,0.753228306,0.584271407,0.885714286
248,0.74937244,0.57727384,0.884393064
249,0.752974581,0.58374192,0.883040936
250,0.752249135,0.581928542,0.881656805
251,0.747307256,0.573564621,0.880239521
252,0.749891131,0.575819664,0.878787879
253,0.744199881,0.563830887,0.877300613
254,0.745618046,0.567149476,0.875776398
255,0.749375,0.571276222,0.880503145
256,0.743310367,0.557012226,0.878980892
257,0.747863248,0.565026631,0.877419355
258,0.750548153,0.569393036,0.875816993
259,0.754501385,0.570742692,0.880794702
260,0.753066667,0.569010178,0.879194631
261,0.75109569,0.567980321,0.87755102
262,0.752486395,0.572197854,0.875862069
263,0.749035494,0.565714171,0.874125874
264,0.753620313,0.574501615,0.872340426
265,0.755306122,0.575502394,0.870503597
266,0.752783029,0.575041839,0.868613139
267,0.757352941,0.578316874,0.874074074
268,0.756961461,0.5796581,0.872180451
269,0.749540863,0.564598519,0.870229008
270,0.75408284,0.574357154,0.875968992
271,0.751708984,0.574883263,0.874015748
272,0.748047367,0.573486314,0.872
273,0.75,0.581010228,0.869918699
274,0.745498522,0.576764336,0.867768595
275,0.736944444,0.557760956,0.865546218
276,0.731111749,0.547745043,0.863247863
277,0.727407848,0.547276362,0.860869565
278,0.737457679,0.560802738,0.867256637
279,0.729910714,0.554814296,0.864864865
280,0.72,0.540901201,0.862385321
281,0.719478738,0.543728029,0.859813084
282,0.718405126,0.539199436,0.857142857
283,0.724112426,0.55166969,0.854368932
284,0.717416378,0.548800968,0.851485149
285,0.7064,0.529258926,0.848484848
286,0.700541441,0.524982627,0.845360825
287,0.691840278,0.519424851,0.842105263
288,0.684925306,0.51224217,0.838709677
289,0.703213611,0.53732873,0.846153846
290,0.698271605,0.529349302,0.853932584
291,0.685433884,0.508171604,0.850574713
292,0.692806923,0.508816454,0.847058824
293,0.680272109,0.489055381,0.843373494
294,0.679952409,0.494824828,0.839506173
295,0.691875,0.511626817,0.835443038
296,0.704142012,0.529824606,0.831168831
297,0.691135734,0.516787423,0.826666667
298,0.676406136,0.495046279,0.821917808
299,0.662808642,0.483133964,0.816901408
300,0.646530612,0.459172426,0.811594203
301,0.626297578,0.429934725,0.805970149
302,0.610651974,0.417492955,0.8
303,0.619140625,0.426076007,0.80952381
304,0.623309053,0.433733726,0.803278689
305,0.623333333,0.442345096,0.796610169
306,0.600475624,0.40717955,0.789473684
307,0.591836735,0.402221463,0.781818182
308,0.622770919,0.438574423,0.79245283
309,0.602071006,0.413941774,0.784313725
310,0.616,0.429771909,0.775510204
311,0.621527778,0.435518888,0.765957447
312,0.631379962,0.454764107,0.777777778
313,0.605371901,0.412966878,0.76744186
314,0.621315193,0.433676363,0.756097561
315,0.59,0.382926829,0.743589744
316,0.609418283,0.403764088,0.756756757
317,0.62037037,0.414929215,0.771428571
318,0.598615917,0.394194041,0.757575758
319,0.65625,0.456195015,0.774193548
320,0.715555556,0.5243604,0.793103448
321,0.75,0.574165298,0.777777778
322,0.781065089,0.624957265,0.8
323,0.75,0.573478261,0.782608696
324,0.743801653,0.568605308,0.80952381
325,0.79,0.647368421,0.789473684
326,0.802469136,0.66873065,0.764705882
327,0.75,0.589705882,0.733333333
328,0.673469388,0.498901099,0.692307692
329,0.75,0.562937063,0.636363636
330,0.88,0.703030303,0.666666667
331,0.9375,0.833333333,0.714285714
332,0.888888889,0.885714286,0.8
333,0.75,0.7,0.666666667
334,0,0,0
